date,tcr,tcre
1994-06-01,100,100
1994-07-01,87.56,88.87
1994-08-01,83.17,84.22
1994-09-01,79.03,80.87
1994-10-01,75.37,77.61
1994-11-01,73.06,74.68
1994-12-01,72.51,73.48
1995-01-01,71.33,72.91
1995-02-01,70.39,72.23
1995-03-01,73.52,76.98
1995-04-01,73.55,78.11
1995-05-01,70.91,75.43
1995-06-01,70.8,75.21
1995-07-01,70.3,73.91
1995-08-01,70.77,72.38
1995-09-01,71.03,72.23
1995-10-01,70.79,72.5
1995-11-01,70.01,73.44
1995-12-01,69.17,70.8
1996-01-01,69.16,69.71
1996-02-01,69.1,70.13
1996-03-01,69.57,70.26
1996-04-01,69.26,69.29
1996-05-01,68.91,68.68
1996-06-01,68.55,68.17
1996-07-01,68.31,68.05
1996-08-01,68.58,68.82
1996-09-01,69.09,68.78
1996-10-01,69.5,68.6
1996-11-01,69.77,69.17
1996-12-01,69.9,68.96
1997-01-01,69.68,67.75
1997-02-01,69.98,67.09
1997-03-01,70.29,67
1997-04-01,70.04,66.66
1997-05-01,70.2,67.44
1997-06-01,70.32,66.83
1997-07-01,70.65,66.47
1997-08-01,71.27,66.66
1997-09-01,71.78,67.67
1997-10-01,72.22,68.58
1997-11-01,72.52,68.65
1997-12-01,72.53,67.9
1998-01-01,72.56,67.52
1998-02-01,72.83,68.39
1998-03-01,73.15,68.69
1998-04-01,73.59,68.99
1998-05-01,73.8,69.54
1998-06-01,74.3,69.26
1998-07-01,74.92,70.18
1998-08-01,76.06,71.27
1998-09-01,76.92,74.2
1998-10-01,77.58,76.5
1998-11-01,78.02,76.32
1998-12-01,78.48,77.56
1999-01-01,97.34,96.07
1999-02-01,122.89,118.89
1999-03-01,120.85,115.91
1999-04-01,108.11,103.23
1999-05-01,107.11,102.5
1999-06-01,112.11,106.68
1999-07-01,113.44,107.62
1999-08-01,118.13,113.19
1999-09-01,119.42,113.78
1999-10-01,122.67,117.59
1999-11-01,119.15,112.48
1999-12-01,113.09,106.2
2000-01-01,110.34,103.56
2000-02-01,109.1,101.01
2000-03-01,107.7,98.86
2000-04-01,108.93,99.96
2000-05-01,112.72,101.5
2000-06-01,111.84,102.51
2000-07-01,109.68,99.94
2000-08-01,108.95,97.31
2000-09-01,111.08,97.87
2000-10-01,113.56,99.62
2000-11-01,117.38,103.62
2000-12-01,117.54,106.04
2001-01-01,117.09,105.5
2001-02-01,119.85,111.79
2001-03-01,124.88,115.33
2001-04-01,130.83,120.25
2001-05-01,137.14,125.8
2001-06-01,141.33,128.1
2001-07-01,144.37,131.39
2001-08-01,145.96,134.29
2001-09-01,155.58,142.97
2001-10-01,157.73,144.6
2001-11-01,145.1,132.52
2001-12-01,133.41,123.24
2002-01-01,133.88,117.8
2002-02-01,136.27,117.16
2002-03-01,132.12,113.24
2002-04-01,130.33,112.62
2002-05-01,139.02,120.83
2002-06-01,151.56,133.61
2002-07-01,162.14,147.14
2002-08-01,171.29,153.09
2002-09-01,183.05,163.3
2002-10-01,206.11,183.51
2002-11-01,188,170.42
2002-12-01,186.27,171.34
2003-01-01,173.51,161.36
2003-02-01,179.77,172.99
2003-03-01,171.5,165.98
2003-04-01,153.34,150.61
2003-05-01,144.22,145.46
2003-06-01,141.04,142.47
2003-07-01,140.75,141.7
2003-08-01,146.8,145.26
2003-09-01,142.26,141.64
2003-10-01,138.72,140.54
2003-11-01,140.4,142.52
2003-12-01,140.07,145.18
2004-01-01,136.19,143
2004-02-01,139.84,151.06
2004-03-01,138.89,149.16
2004-04-01,138.85,148.81
2004-05-01,148.25,156.94
2004-06-01,149.04,158.3
2004-07-01,143.11,153.62
2004-08-01,140.62,150.15
2004-09-01,135.23,144.74
2004-10-01,133.55,143.83
2004-11-01,129.6,141.9
2004-12-01,124.9,139.76
2005-01-01,123.29,136.66
2005-02-01,118.92,132.58
2005-03-01,124.02,138.12
2005-04-01,118.03,130.42
2005-05-01,111.59,123.29
2005-06-01,109.88,119.88
2005-07-01,108.29,117.63
2005-08-01,108.07,118.57
2005-09-01,105.95,115.35
2005-10-01,103.63,111.99
2005-11-01,100.17,108.2
2005-12-01,102.76,112.38
2006-01-01,102.41,112.25
2006-02-01,97.17,106.86
2006-03-01,96.84,107.02
2006-04-01,96.43,107.05
2006-05-01,99.03,112.11
2006-06-01,102.64,115.65
2006-07-01,100.05,113.11
2006-08-01,98.67,111.98
2006-09-01,98.57,111.89
2006-10-01,96.79,110.22
2006-11-01,96.78,111.12
2006-12-01,96.1,111.25
2007-01-01,95.46,109.39
2007-02-01,93.66,107.26
2007-03-01,93.83,107.87
2007-04-01,91.65,106.05
2007-05-01,89.67,103.61
2007-06-01,87.34,100.69
2007-07-01,84.9,99.21
2007-08-01,88.08,103.44
2007-09-01,85.18,100.77
2007-10-01,80.69,96.78
2007-11-01,79.47,96.71
2007-12-01,79.55,97.16
2008-01-01,78.99,96.66
2008-02-01,76.77,96
2008-03-01,76.16,97.27
2008-04-01,75.37,96.86
2008-05-01,74.14,94.38
2008-06-01,72.47,91.92
2008-07-01,71.24,90.83
2008-08-01,71.69,90.16
2008-09-01,79.7,97.94
2008-10-01,94.83,112
2008-11-01,96.67,112.45
2008-12-01,100.79,119.89
2009-01-01,97.09,113.36
2009-02-01,97.26,111.65
2009-03-01,97.35,109.03
2009-04-01,92.59,106.95
2009-05-01,86.35,100.96
2009-06-01,82.43,98.35
2009-07-01,81.06,97.14
2009-08-01,77.45,92.87
2009-09-01,76.25,92.13
2009-10-01,72.7,88.81
2009-11-01,71.95,89.05
2009-12-01,72.56,89.9
2010-01-01,73.48,89.07
2010-02-01,75.46,91.28
2010-03-01,73.1,88.33
2010-04-01,71.62,86.71
2010-05-01,73.66,87.45
2010-06-01,73.32,85.99
2010-07-01,71.83,85.9
2010-08-01,71.49,86.21
2010-09-01,69.56,84.72
2010-10-01,67.71,84.07
2010-11-01,68.37,84.79
2010-12-01,67.27,82.61
2011-01-01,66.3,81.74
2011-02-01,65.83,83.57
2011-03-01,65.6,84.06
2011-04-01,62.65,81.24
2011-05-01,63.72,82.7
2011-06-01,62.51,81.67
2011-07-01,61.56,80.84
2011-08-01,62.8,82.7
2011-09-01,68.38,88.24
2011-10-01,68.99,88.38
2011-11-01,69.16,88.14
2011-12-01,70.55,89.54
2012-01-01,68.65,86.47
2012-02-01,65.85,85.46
2012-03-01,69.24,89.52
2012-04-01,71.17,92.07
2012-05-01,75.78,97.12
2012-06-01,78.16,98.63
2012-07-01,76.97,97.7
2012-08-01,77.11,98.93
2012-09-01,76.99,99.78
2012-10-01,76.56,99.27
2012-11-01,77.08,99.92
2012-12-01,76.71,100.51
2013-01-01,74.58,97.4
2013-02-01,72.56,95.01
2013-03-01,72.85,94.93
2013-04-01,73.03,95.55
2013-05-01,74.12,97.02
2013-06-01,79.09,103.69
2013-07-01,81.99,107.61
2013-08-01,85.16,112.95
2013-09-01,82.36,109.29
2013-10-01,78.74,105.54
2013-11-01,82.02,109.37
2013-12-01,83,111
2014-01-01,84.08,110.25
2014-02-01,83.92,109.44
2014-03-01,81.69,106.12
2014-04-01,78.18,101.57
2014-05-01,77.65,100.95
2014-06-01,78,101.48
2014-07-01,77.55,101.84
2014-08-01,78.74,103.24
2014-09-01,80.59,104.58
2014-10-01,84.01,108.46
2014-11-01,86.53,110.72
2014-12-01,88.49,113.23
2015-01-01,86.79,108.88
2015-02-01,92.12,115.15
2015-03-01,101.87,125.61
2015-04-01,98.41,121.24
2015-05-01,98.51,121.94
2015-06-01,99.8,123.44
2015-07-01,102.73,127.03
2015-08-01,111.61,137.44
2015-09-01,123.05,150.91
2015-10-01,121.12,148.6
2015-11-01,116.78,141
2015-12-01,118.15,140.88
2016-01-01,122,142.7
2016-02-01,118.66,140.15
2016-03-01,110.79,130.7
2016-04-01,106.51,127.78
2016-05-01,105.4,126.46
2016-06-01,101.9,121.68
2016-07-01,96.81,115.76
2016-08-01,94.53,114.5
2016-09-01,96.05,115.81
2016-10-01,93.89,112.11
2016-11-01,98.08,115.53
2016-12-01,98.17,113.85
