show,rating,seasons,category
Arrested Development,9,4,comedy
The Crown,9,1,drama
House of Cards,9,4,political thriller
Stranger Things,9,1,science fiction
Narcos,8.9,2,action
Black Mirror,8.9,3,drama
Daredevil,8.8,2,action
Chef's Table,8.8,2,documentary
Hip Hop Evolution,8.8,1,documentary
Making A Murderer,8.8,1,documentary
Roma,8.8,1,drama
Better Call Saul,8.7,2,drama
La Niña,8.7,1,drama
Last Chance U,8.6,1,documentary
Trailer Park Boys,8.5,10,comedy
Tales By Light,8.5,1,documentary
The Get Down,8.5,1,drama
Merlí,8.5,1,drama
El Marginal,8.5,1,police
BoJack Horseman,8.4,3,comedy
Orphan Black,8.4,4,police
Sense 8,8.4,1,science fiction
Orange Is The New Black,8.3,4,drama
Gilmore Girls (Netflix only),8.3,1,drama
The Fall,8.3,3,police
Good Morning Call,8.3,1,teen
Jessica Jones,8.2,1,action
Master of None,8.2,1,comedy
Grace And Frankie,8.2,2,comedy
Cooked,8.2,1,documentary
Bloodline,8.2,2,drama
Penny Dreadful,8.2,2,horror
The Killing,8.2,4,police
River,8.2,1,police
The Expanse,8.2,1,science fiction
Marco Polo,8.1,2,action
Club de Cuervos,8.1,2,comedy
Derek,8.1,3,comedy
Dirk Gentlys H D Agency,8.1,1,comedy
Hibana,8.1,1,drama
Lilyhammer,8.1,3,police
Terrace House,8.1,2,reality show
F Is For Family,8,1,comedy
Designated Survivor,8,1,political thriller
Lovesick,8,2,romance
Luke Cage,7.9,1,action
Unbreakable Kimmy Schmidt,7.9,2,comedy
El Vato,7.9,1,drama
Shooter,7.8,1,action
Atelier,7.8,1,drama
White Rabbit Project,7.8,1,reality show
Love,7.8,1,romance
A Very Secret Service,7.7,1,comedy
Lady Dynamite,7.7,1,comedy
3%,7.7,1,science fiction
Glitch,7.7,1,science fiction
Chewing Gum,7.6,1,comedy
The Ranch,7.6,2,comedy
Bob & David,7.6,1,comedy
Wet Hot American Summer,7.5,1,comedy
Cuckoo,7.4,3,comedy
Marcella,7.4,1,police
Midnight Diner,7.3,1,drama
Flaked,7.3,1,drama
Hemlock Grove,7.3,3,horror
Scream,7.3,2,police
Mako Mermaids,7.3,4,teen
Fuller House,7.2,1,comedy
The Returned,7.2,1,police
Degrassi,7.2,2,teen
Stockholm,7.1,1,police
Fearless,7,1,documentary
Rebellion,7,1,drama
From Dusk Till Dawn,7,3,horror
Chelsea,7,1,reality show
Marseille,6.9,1,political thriller
Easy,6.8,1,comedy
Paranoid,6.8,1,police
Lost & Found,6.8,2,teen
Haters Back Off,6.4,1,comedy
Shadow Hunters,6.3,1,teen
Project MC2,6.3,3,teen
Russel Peters Vs The World,5.9,1,documentary
Between,5.9,2,drama
Captive,5.3,1,documentary
Some Assembly Required,4.8,2,teen
Pompidou,4.2,1,comedy
Richie Rich,4,2,teen
