"country","eltype","year","vapvt","vap","comp"
"Austrália","Parliamentary","1946",91.85,4852250,"Yes"
"Austrália","Parliamentary","1949",91.67,5142800,"Yes"
"Austrália","Parliamentary","1951",85.24,5480150,"Yes"
"Austrália","Parliamentary","1954",81.93,5661810,"Yes"
"Austrália","Parliamentary","1955",78.35,5796000,"Yes"
"Austrália","Parliamentary","1958",86.05,6003620,"Yes"
"Austrália","Parliamentary","1961",84.56,6409880,"Yes"
"Austrália","Parliamentary","1963",85.65,6549600,"Yes"
"Austrália","Parliamentary","1966",84.66,6960000,"Yes"
"Austrália","Parliamentary","1969",83.89,7478600,"Yes"
"Austrália","Parliamentary","1972",85.35,7905600,"Yes"
"Austrália","Parliamentary","1974",84.31,8937800,"Yes"
"Austrália","Parliamentary","1975",84.68,9308310,"Yes"
"Austrália","Parliamentary","1977",84.48,9620530,"Yes"
"Austrália","Parliamentary","1980",83.97,10139550,"Yes"
"Austrália","Parliamentary","1983",81.24,10919090,"Yes"
"Austrália","Parliamentary","1984",84.2,11036240,"Yes"
"Austrália","Parliamentary","1987",84.14,11546730,"Yes"
"Austrália","Parliamentary","1990",82.09,12457450,"Yes"
"Austrália","Parliamentary","1993",83.43,13065440,"Yes"
"Austrália","Parliamentary","1996",82.99,13547920,"Yes"
"Austrália","Parliamentary","1998",82.24,14039112,"Yes"
"Austrália","Parliamentary","2001",84.2,14316998,"Yes"
"Austrália","Parliamentary","2004",82.37,14999498,"Yes"
"Austrália","Parliamentary","2007",82.38,15696515,"Yes"
"Austrália","Parliamentary","2010",81.02,16208479,"Yes"
"Austrália","Parliamentary","2013",78.86,17406251,"Yes"
"Brasil","Presidential","1945",23.96,25880400,"Yes"
"Brasil","Presidential","1950",28.36,29106560,"Yes"
"Brasil","Presidential","1955",27.48,33100650,"Yes"
"Brasil","Presidential","1960",33.43,37654200,"Yes"
"Brasil","Presidential","1989",79.36,91075840,"Yes"
"Brasil","Presidential","1994",76.85,101458500,"Yes"
"Brasil","Presidential","1998",81.03,102802554,"Yes"
"Brasil","Presidential","2002",79.12,115848256,"Yes"
"Brasil","Presidential","2006",83.57,125422653,"Yes"
"Brasil","Presidential","2010",77.29,137925708,"Yes"
"Brasil","Presidential","2014",74.72,150803268,"Yes"
"México","Presidential","1946",21.9,10478340,"Yes"
"México","Presidential","1952",29.41,12416320,"Yes"
"México","Presidential","1958",51.56,14473800,"Yes"
"México","Presidential","1964",56.59,16650060,"Yes"
"México","Presidential","1970",65.36,21289800,"Yes"
"México","Presidential","1976",57.59,29046470,"Yes"
"México","Presidential","1982",65.85,35829780,"Yes"
"México","Presidential","1988",41.96,45496550,"Yes"
"México","Presidential","1994",65.89,53944640,"Yes"
"México","Presidential","2000",59.99,62684899,"Yes"
"México","Presidential","2006",63.26,66061738,"Yes"
"México","Presidential","2012",64.58,76008240,"Yes"
"EUA","Presidential","1948",51.09,95310150,"No"
"EUA","Presidential","1952",60.31,102064300,"No"
"EUA","Presidential","1956",58.29,106408890,"No"
"EUA","Presidential","1960",63.06,109159000,"No"
"EUA","Presidential","1964",61.92,114090000,"No"
"EUA","Presidential","1968",60.84,120328186,"No"
"EUA","Presidential","1972",60.92,140776000,"No"
"EUA","Presidential","1976",56.92,152309190,"No"
"EUA","Presidential","1980",56.54,164597000,"No"
"EUA","Presidential","1984",58.39,174466000,"No"
"EUA","Presidential","1988",55.93,182778000,"No"
"EUA","Presidential","1992",60.08,189529000,"No"
"EUA","Presidential","1996",53.44,196511000,"No"
"EUA","Presidential","2000",52.62,210623408,"No"
"EUA","Presidential","2004",57.07,220336019,"No"
"EUA","Presidential","2008",57.47,233087000,"No"
"EUA","Presidential","2012",53.58,240926957,"No"
